EV_Ali_19	EV_Ali_25	EV_Ali_26	EV_int24_2	EV_int30_2	EV_int32_1	WCL_Ali_19	WCL_Ali_25	WCL_Ali_26	WCL_Int_24	WCL_Int_30	WCL_Int_31	Annotation	Category
-0.884346	0.663773	-0.0250912	-0.436894	"129,875"	"208,679"	"186,028"	"159,114"	"198,223"	"237,721"	"205,547"	"198,057"	Translation initiation factor 2 subunit alpha	Translation 
"216,106"	"190,031"	"246,395"	-0.343577	"205,815"	"209,572"	"110,485"	"159,881"	"194,342"	"177,479"	"281,822"	"141,805"	Putative Large ribosomal subunit protein uL22m	Translation 
"365,878"	"255,025"	"414,202"	0.54807	"207,585"	"241,409"	-0.774439	-0.710915	"-246,596"	"-217,499"	"-440,055"	"-345,176"	Putative adhesin 	Adhesin/ adhesion/ IG-like
"-161,017"	0.921268	"198,751"	"10,183"	"144,622"	"-177,164"	0.00443268	0.727657	"-373,636"	"156,415"	"104,598"	-0.684843	Chaperone protein DnaJ	Protein folding
"342,071"	"348,527"	"233,184"	0.781695	"204,922"	"106,876"	"379,141"	"363,735"	"38,625"	"393,664"	"387,292"	"385,615"	Putative Transcriptional regulator	Transcription
-0.310612	0.825691	"354,716"	-0.867528	"187,817"	0.648264	"10,651"	"226,033"	"163,292"	0.47978	-0.202844	-0.34136	Tetrahydromethanopterin S-methyltransferase subunit E	Methanogenesis/ C1 metabolic processes
"139,847"	0.155502	-0.00498199	-0.241343	-0.708809	"1,032"	"410,949"	"322,603"	"381,669"	"538,532"	"4,532"	"563,902"	"5,10-methylenetetrahydromethanopterin reductase"	Methanogenesis/ C1 metabolic processes
-0.710699	"284,654"	"155,141"	"105,422"	0.66316	"-170,807"	"273,252"	"477,417"	"326,534"	-0.272079	0.142652	0.943417	Putative B12-binding/ methanol-corrinoid protein	Amino acid-associated functions
"428,044"	"357,618"	"40,933"	"159,109"	"352,566"	"334,833"	"-209,437"	-0.0616016	"-141,841"	"-473,379"	"-264,415"	-0.131245	Putative DUF11 domain-containing protein	unknown cell wall-associated functions
0.340441	"131,359"	"253,434"	"-184,089"	"312,344"	"216,526"	"515,754"	"454,498"	"510,163"	"567,728"	"551,275"	"565,826"	Putative F420-nonreducing hydrogenase	Methanogenesis/ C1 metabolic processes
"429,903"	"459,261"	"434,903"	"124,242"	"364,904"	"301,797"	"382,626"	"424,328"	"407,495"	"238,802"	"240,086"	"22,976"	Putative CoB--CoM heterodisulfide reductase subunit C	Methanogenesis/ C1 metabolic processes
"-155,572"	"-219,376"	0.765535	"-16,986"	0.219742	"-192,639"	-0.333067	-0.416584	"-332,219"	-0.977633	-0.779346	0.133549	DUF2207 domain-containing protein	unknown function
-0.681255	0.283325	0.822906	0.693339	0.634779	0.54508	"330,855"	"196,002"	"206,895"	"267,066"	"293,209"	"187,929"	Putative Small ribosomal subunit protein uS12	Translation 
"261,123"	"227,972"	"373,821"	0.637605	"314,875"	0.698387	"338,277"	"367,415"	"37,357"	"409,672"	"367,548"	"396,211"	Methionine--tRNA ligase	Translation 
"196,551"	0.551746	0.693535	0.159106	0.749521	"167,474"	"401,381"	"409,373"	"38,625"	"459,572"	"470,405"	"463,126"	Proteasome subunit alpha	Proteolysis
"-282,942"	0.0911942	"133,382"	"-171,463"	0.656116	0.653114	"165,006"	"139,871"	"176,939"	"326,444"	"325,401"	"250,732"	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	Translation 
"250,317"	"143,515"	"265,772"	0.240346	"259,482"	"138,669"	"169,188"	"231,728"	"170,741"	"105,528"	"191,915"	"258,978"	Transcription initiation factor IIB	Transcription
"28,693"	"295,215"	"260,962"	-0.340465	"172,953"	"277,268"	"231,748"	"17,554"	"18,625"	"232,193"	"243,761"	"179,836"	V-type ATP synthase subunit D	ATP metabolic process
"255,821"	"447,939"	"383,551"	"265,486"	"3,604"	"303,664"	"490,689"	"483,882"	"466,985"	"476,694"	"421,219"	"410,074"	V-type ATP synthase beta chain	ATP metabolic process
"401,132"	"55,835"	"393,968"	"439,961"	"384,242"	"332,952"	"583,094"	"537,431"	"531,687"	"564,386"	"522,802"	"507,807"	V-type ATP synthase alpha chain	ATP metabolic process
0.918207	"145,764"	"47,604"	"149,852"	"416,125"	"302,734"	"298,326"	"335,404"	"256,293"	"375,656"	"323,325"	"291,171"	V-type ATP synthase subunit C	ATP metabolic process
"104,254"	"280,329"	"385,627"	"179,591"	"327,289"	0.576052	"380,736"	"422,603"	"374,702"	"397,298"	"442,623"	"438,795"	Carbamoyl phosphate synthase large chain	Nitrogen compound metabolism
"185,681"	0.957794	0.777193	"115,691"	"149,966"	"136,024"	"236,134"	"206,352"	"156,123"	"131,741"	"102,197"	"16,479"	Translation initiation factor 2 subunit beta	Translation 
"221,099"	"235,867"	"331,695"	"-162,102"	"324,578"	"304,589"	"342,058"	"308,008"	"347,494"	"35,265"	"38,217"	"287,929"	Large ribosomal subunit protein uL1	Translation 
"28,315"	"226,158"	"349,957"	"210,076"	"362,819"	"246,323"	"27,191"	"277,587"	"346,584"	"374,399"	"402,258"	"306,371"	Small ribosomal subunit protein eS1	Translation 
"120,509"	0.893255	0.995018	"-361,926"	"141,874"	"198,469"	"248,543"	"242,486"	"242,884"	"340,408"	"367,162"	"265,252"	Large ribosomal subunit protein uL30	Translation 
"146,088"	"135,697"	"214,202"	0.993848	"237,651"	"17,893"	"305,978"	"300,116"	"25,371"	"355,075"	"377,937"	"270,526"	Small ribosomal subunit protein uS5	Translation 
"-11,307"	"122,083"	-0.347019	-0.129666	"-186,216"	-0.817862	"254,749"	"171,358"	"199,495"	"338,262"	"333,418"	"216,401"	Large ribosomal subunit protein uL6	Translation 
"406,116"	"344,563"	"418,914"	"300,918"	"430,139"	"485,916"	"347,748"	"345,901"	"383,094"	"40,396"	"438,917"	"36,254"	Large ribosomal subunit protein uL5	Translation 
"219,123"	0.604534	"304,891"	0.495042	"262,519"	"161,385"	"293,183"	"300,694"	"282,027"	"361,655"	"439,386"	"255,736"	Small ribosomal subunit protein eS4	Translation 
"18,693"	"198,016"	"207,276"	"-151,194"	"149,966"	"217,373"	"279,781"	"24,162"	"28,763"	"299,435"	"311,908"	"27,774"	Large ribosomal subunit protein uL14	Translation 
3	"248,136"	"318,641"	"110,076"	"323,005"	"253,066"	"281,052"	"293,597"	"303,857"	"397,656"	"423,064"	"323,748"	Small ribosomal subunit protein uS3	Translation 
"229,672"	"27,457"	"364,585"	"157,469"	"357,939"	"327,943"	"410,434"	"415,229"	"472,239"	"503,446"	"503,312"	"434,822"	Large ribosomal subunit protein uL3	Translation 
"242,071"	"231,535"	"276,407"	0.613732	"260,705"	"127,787"	"333,958"	"238,988"	"345,668"	"321,067"	"244,666"	"323,748"	Small ribosomal subunit protein eS17	Translation 
"16,216"	"134,323"	0.412548	0.891667	"107,585"	"2,032"	"276,554"	"211,797"	"249,297"	"264,386"	"323,325"	"277,035"	Small ribosomal subunit protein uS10	Translation 
"3,382"	"506,108"	"411,356"	"327,323"	"34,665"	"438,887"	"611,974"	"649,237"	"672,239"	"697,477"	"673,668"	"640,854"	Probable translation initiation factor IF-2	Translation 
"116,106"	"333,717"	"277,864"	-0.51545	"118,591"	0.832689	"497,199"	"506,352"	"540,285"	"559,805"	"517,458"	"475,435"	DNA polymerase sliding clamp	DNA-associated functions
"310,935"	"332,848"	"21,078"	0.659535	"220,212"	"235,579"	"40,302"	"37,416"	"412,784"	"433,595"	"429,466"	"394,028"	Small ribosomal subunit protein uS15	Translation 
"19,771"	"289,443"	"246,395"	"179,591"	"251,272"	"21,905"	"495,777"	"467,415"	"633,573"	"580,373"	"517,458"	"612,029"	F420-dependent methylenetetrahydromethanopterin dehydrogenase	Methanogenesis/ C1 metabolic processes
"256,591"	"300,764"	"319,187"	0.344586	"313,615"	"116,016"	"268,499"	"320,103"	"334,693"	"412,606"	"394,491"	"369,784"	Threonine--tRNA ligase	Translation 
0.281845	"158,423"	0.481871	"128,335"	-0.224247	0.905621	"493,328"	"523,345"	"51,422"	"475,238"	"477,219"	"522,721"	Ketol-acid reductoisomerase (NADP(+))	Amino acid-associated functions
0.834047	"107,258"	"351,706"	0.193873	"329,195"	0.11694	"229,956"	"293,597"	"240,046"	"346,659"	"323,847"	"302,866"	Dihydroxy-acid dehydratase	Amino acid-associated functions
-0.535824	0.548756	"118,423"	"-138,466"	0.598497	0.301224	0.847998	"105,462"	0.494764	0.475735	"114,932"	"125,578"	Aspartate carbamoyltransferase catalytic subunit	Amino acid-associated functions
"-159,636"	"134,323"	0.327887	-0.143163	0.306267	"10,832"	"439,338"	"461,101"	"442,415"	"406,676"	"390,609"	"325,274"	Serine hydroxymethyltransferase	Amino acid-associated functions
"23,151"	"260,165"	"266,558"	"219,495"	"266,667"	"288,516"	"37,191"	"361,101"	"420,098"	"464,611"	"438,447"	"370,895"	Small ribosomal subunit protein uS2	Translation 
"399,716"	"385,261"	"247,294"	"292,115"	"315,709"	-0.191015	"483,717"	"445,055"	"461,327"	"47,292"	"480,421"	"514,777"	UPF0219 protein Msm_1561	unknown function
0.0987797	"153,975"	"103,198"	0.930839	"148,649"	"-192,489"	"359,969"	"406,075"	"365,791"	"453,625"	"469,079"	"447,297"	Digeranylgeranylglycerophospholipid reductase	Lipid-associated functions
0.711756	"354,651"	"501,393"	"269,713"	"518,998"	"454,378"	"621,245"	"613,787"	"622,545"	"640,541"	"596,236"	"565,826"	Methenyltetrahydromethanopterin cyclohydrolase	Methanogenesis/ C1 metabolic processes
"482,028"	"606,108"	"546,395"	"461,534"	"521,016"	"405,279"	"818,373"	"815,425"	"779,005"	"603,617"	"575,044"	"595,123"	CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Methanogenesis/ C1 metabolic processes
0.800524	"434,366"	"378,588"	"336,904"	"357,628"	"213,958"	"250,119"	"291,768"	"235,188"	"432,755"	"413,875"	"41,667"	Replication protein A	DNA-associated functions
"34,122"	"418,661"	"451,923"	"236,666"	"429,195"	"248,379"	"482,782"	"534,036"	"617,048"	"659,222"	"626,684"	"667,252"	MBL fold metallo-hydrolase	Electron transport
"-2,571"	-0.0787315	0.177643	"-220,976"	-0.0111694	-0.00381279	"211,718"	"343,776"	"25,371"	"317,368"	"310,772"	"314,232"	Phosphomethylpyrimidine synthase	vitamin biosynthesis
"-159,636"	0.911991	0.928616	"-180,613"	0.684086	-0.406183	"190,837"	"223,098"	"254,576"	"363,481"	"353,836"	"340,171"	Lysine--tRNA ligase	Translation 
"434,223"	"175,221"	"167,184"	0.727851	"12,403"	0.244516	"531,079"	"447,161"	"435,188"	"447,168"	"454,258"	"428,775"	Glutamine synthetase	Amino acid-associated functions
"21,406"	"387,068"	"339,469"	"254,555"	"280,045"	"234,084"	"428,825"	"51,575"	"484,329"	"605,325"	"598,582"	"579,489"	Formylmethanofuran dehydrogenase subunit A	Methanogenesis/ C1 metabolic processes
"235,117"	"203,461"	0.598169	0.116704	"213,615"	"109,394"	"290,837"	"153,301"	"254,576"	0.491854	"204,359"	"166,017"	Ribosome assembly protein YhbY	Translation 
"473,583"	"379,068"	"422,417"	"204,235"	"380,311"	"390,053"	"42,973"	"393,597"	"421,734"	"459,572"	"462,657"	"394,028"	Small ribosomal subunit protein eS19	Translation 
"219,123"	"415,992"	"131,194"	"280,648"	0.910101	0.244516	"498,606"	"482,906"	"453,274"	"450,928"	"419,619"	"467,724"	Aminotransferase	Amino acid-associated functions
"398,286"	"143,677"	0.951948	-0.613482	"14,048"	0	"526,534"	"545,055"	"54,265"	"582,376"	"538,917"	"550,732"	"Fructose-1,6-bisphosphate aldolase/phosphatase"	carbohydrates-associated functions
"130,041"	"198,016"	"260,145"	"230,836"	"262,519"	"282,196"	"744,422"	"685,093"	"782,383"	"727,321"	"699,741"	"674,628"	"5,10-methenyltetrahydromethanopterin hydrogenase"	Methanogenesis/ C1 metabolic processes
"155,358"	"263,022"	"215,325"	"163,918"	"164,904"	"231,812"	"242,884"	"209,644"	"227,058"	"259,805"	"294,491"	"202,866"	pyruvate synthase	Pyruvate-associated functions
"399,431"	"316,725"	"322,417"	0.148068	"24,048"	"304,128"	"750,168"	"650,264"	"717,398"	"733,734"	"658,621"	"77,597"	"5,10-methylenetetrahydromethanopterin reductase"	Methanogenesis/ C1 metabolic processes
0.1406	"252,004"	"130,994"	0.956372	"174,067"	0.965326	"488,001"	"519,597"	"522,545"	"555,075"	"535,355"	"520,121"	D-3-phosphoglycerate dehydrogenase	Amino acid-associated functions
"213,026"	"299,122"	"284,246"	"107,768"	"238,364"	"260,136"	"28,965"	"326,516"	"357,568"	"419,229"	"395,445"	"413,684"	GMP synthase [glutamine-hydrolyzing] subunit B	Nucleobase-associated functions
"139,675"	"14,254"	"236,119"	0.0984716	"194,712"	"18,644"	"348,543"	"429,382"	"282,027"	"253,138"	"284,583"	"270,526"	CBS domain-containing protein	Function unknown
"100,227"	"157,398"	"238,042"	"130,339"	"239,073"	-0.00763512	"276,554"	"328,433"	"296,941"	"268,825"	"227,448"	"293,713"	Carboxymuconolactone decarboxylase family protein	Oxidoreductase activity
-0.892759	"130,475"	"231,194"	0.202434	"291,797"	"302,734"	"377,205"	"372,064"	"393,684"	"318,612"	"285,944"	"294,342"	Putative snRNP Sm-like protein	RNA-associated functions
-0.333332	0.84532	"-17,252"	0.03757	"-220,729"	"-115,666"	"190,837"	"231,728"	"221,734"	"190,238"	"187,962"	"241,081"	CTP synthase	Nucleobase-associated functions
0.714529	0.94875	-0.152002	-0.206923	-0.548344	-0.156664	"21,375"	"220,103"	"254,576"	"24,818"	"266,389"	"235,531"	Aspartate-semialdehyde dehydrogenase	Amino acid-associated functions
"135,827"	"573,915"	"492,174"	"408,927"	"489,821"	"443,887"	"302,203"	"503,551"	"481,848"	0.491854	"330,961"	"320,645"	CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Electron transport
-0.909733	0.00218964	-0.202629	-0.605989	"183,724"	-0.37623	0.901258	0.938398	0.202072	"229,921"	"210,201"	"206,371"	Thymidylate synthase	Nucleobase-associated functions
"474,603"	"396,622"	"272,698"	"294,047"	"253,848"	"182,196"	"56,746"	"531,728"	"544,977"	"557,459"	"540,086"	"573,274"	Acetyl-CoA acetyltransferase	Lipid-associated functions
0.307774	"139,075"	"19,622"	0.569739	0.908127	-0.37623	"255,506"	"240,748"	"232,193"	"310,983"	"285,944"	"298,667"	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	Aminotransferase
"-367,995"	"-234,221"	"-269,301"	"-451,288"	-0.835442	-0.714306	"102,857"	0.950451	0.476753	"138,802"	"133,808"	"122,515"	Phenylalanine--tRNA ligase alpha subunit	Translation 
0.216866	0.268862	0.431116	"-173,084"	0.88019	"218,214"	"201,106"	"182,252"	"248,398"	"287,652"	"353,836"	"262,931"	Large ribosomal subunit protein uL13	Translation 
-0.110939	"-180,596"	"222,948"	-0.863055	"201,292"	"14,283"	"-280,079"	"-164,563"	"-110,459"	"-109,311"	"-121,992"	"-252,207"	DUF106 domain-containing protein	unknown cell wall-associated functions
"277,287"	"327,068"	"293,644"	"237,141"	"321,815"	"237,058"	0.494909	0.377441	"-246,493"	"109,803"	"112,247"	"181,217"	Transglutaminase	Adhesin/ adhesion/ IG-like
"543,128"	"467,032"	"397,174"	"37,817"	"467,975"	"454,051"	"502,748"	"52,579"	"487,973"	"278,136"	"330,961"	"340,627"	CoB--CoM heterodisulfide reductase subunit C	Methanogenesis/ C1 metabolic processes
"122,855"	0.527651	"21,973"	"-151,194"	0.807884	"129,348"	0.466276	0.835573	"125,587"	-0.38529	0.417512	0.761839	ABC transporter substrate-binding protein	Transport
0.0600758	"311,767"	"182,852"	"163,128"	"14,048"	"160,136"	"650,901"	"599,971"	"639,087"	"711,146"	"666,583"	"65,388"	Thermosome subunit 	Protein folding
0.97016	"153,068"	"138,424"	-0.780593	"182,683"	"174,456"	"342,472"	"361,101"	"323,352"	"345,635"	"246,458"	"367,535"	"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase, fructose-bisphosphate aldolase"	Amino acid-associated functions
0.358274	"257,985"	"204,891"	0.767339	"245,301"	"23,632"	"229,956"	"279,605"	"246,584"	"374,399"	"370,969"	"305,212"	DNA-directed RNA polymerase	Transcription
-0.191669	"149,073"	0.729984	"-178,059"	0.706987	0.148191	"20,651"	"176,908"	"199,495"	"240,939"	"197,022"	"217,474"	Succinate--CoA ligase [ADP-forming] subunit beta	Tricarboxylic acid cycle
-0.49683	"173,915"	0.853514	0.229915	0.257462	"155,029"	"244,524"	"286,771"	"283,448"	"377,726"	"380,421"	"309,228"	DNA-directed RNA polymerase subunit Rpo1C	Transcription
"-338,374"	"120,951"	"233,184"	0.648612	"184,759"	"249,058"	"257,755"	"309,101"	"288,316"	"378,136"	"376,498"	"336,002"	DNA-directed RNA polymerase subunit Rpo1N	Transcription
0.165123	0.598763	0.594879	"-184,972"	"106,526"	"-289,526"	"111,923"	"160,034"	"17,575"	"239,874"	"260,855"	"219,596"	Type 2 DNA topoisomerase 6 subunit B	DNA-associated functions
0.831495	"358,715"	"304,289"	-0.819066	"177,358"	-0.447113	"472,918"	"509,101"	"536,663"	"280,574"	"237,266"	"246,425"	F420-nonreducing hydrogenase	Hydrogenase-associated functions
"45,944"	"523,392"	"501,854"	"474,003"	"533,485"	"591,701"	"669,617"	"635,744"	"585,902"	"346,148"	"486,282"	"463,126"	CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Electron transport
"-329,274"	-0.0198383	-0.736965	"-141,054"	-0.690737	"-140,618"	-0.0450878	0.510391	0.0348854	"129,002"	"131,456"	"108,661"	Methanogenesis marker 7 protein	unknown function
-0.465122	0.672041	-0.379009	"-394,302"	0.457069	-0.532633	"150,901"	"133,394"	"180,591"	"179,928"	"312,473"	"305,793"	AsnC family transcriptional regulator	Transcription
"132,057"	"295,779"	"335,634"	"121,095"	"289,323"	"148,379"	"62,303"	"617,044"	"649,521"	"557,459"	"563,648"	"57,597"	CBS domain-containing protein	Function unknown
0.512756	-0.99781	"13,766"	"-20,487"	"-140,395"	-0.865616	-0.53694	"320,103"	-0.418406	"142,836"	"147,346"	"138,148"	DUF366 family protein	unknown function
"-146,512"	0.536734	"-162,377"	"-230,363"	"-220,904"	"-103,467"	"45,226"	"438,323"	"466,389"	"422,882"	"41,609"	"435,767"	Formylmethanofuran--tetrahydromethanopterin formyltransferase	Methanogenesis/ C1 metabolic processes
"-184,202"	"303,994"	"110,549"	"198,767"	0.370789	"206,876"	"54,185"	"57,554"	"523,887"	"588,226"	"573,206"	"557,973"	Chaperone protein DnaK	Protein folding
"273,242"	"32,432"	"523,213"	"122,151"	"509,551"	"450,239"	"656,166"	"599,244"	"631,053"	"628,771"	"617,458"	"644,776"	F420-non-reducing hydrogenase subunit A	Hydrogenase-associated functions
"261,123"	"282,198"	"50,444"	"1,066"	"497,097"	"383,802"	"506,775"	"471,358"	"518,442"	"51,768"	"511,908"	"537,405"	Coenzyme F420 hydrogenase subunit beta	Hydrogenase-associated functions
-0.0485172	0.633045	"172,849"	"-384,749"	0.415964	-0.204111	"318,709"	"337,207"	"325,481"	"494,031"	"463,451"	"458,174"	Adenylosuccinate lyase	Nucleobase-associated functions
"261,123"	"349,695"	"299,377"	"128,335"	"247,985"	"284,863"	"461,426"	"461,291"	"491,694"	"595,674"	"605,399"	"596,675"	Putative Bifunctional enzyme Fae/Hps	carbohydrates-associated functions
