Category	M_smithii_ALI_EV	M_intestini_EV	M_smithii_ALI_WCL	M_intestini_WCL
DNA-associated functions	64112.81984	-92014.89791	108992.9309	184156.6667
DNA-associated functions	36441.62458	-95618	42224.88117	78704
DNA-associated functions	210872.9481	139462.2528	252731	154389.6667
DNA-associated functions	11086.24287	0.056688667	279035.3333	362234
DNA-associated functions	214936.2864	252474	285651.3333	-246335.6667
DNA-associated functions	242562.3333	39530.43908	514612	517566
DNA-associated functions	270984.9335	302830	259025	296099
DNA-associated functions	0.452921667	-122657.3333	96510.66667	240108.3333
DNA-associated functions	206187.4859	184986	270611.1129	-106344.156
Electron transport	301568.6667	304746.6667	544622	651052.6667
Electron transport	400638.6667	447545	429200.6667	217202.164
Electron transport	357063.3333	533063	630421	431852
Exonuclease	226843.3333	44237.34059	270779.6667	355291.6667
Unknown function	130016	71118.69949	353317.3333	269415.6667
Unknown function	254490	186265.6667	442956	392901.3333
Hydrogenase-associated functions	221001.6105	59118.91127	506227.3333	254755
Hydrogenase-associated functions	276295.6667	360647	628821	630335
Hydrogenase-associated functions	197921.6667	293988.3333	498858.3333	367027
Hydrogenase-associated functions	450879	425517.6667	815608	656362
Hydrogenase-associated functions	0.333321333	-86038.79141	-34380.54104	-47832.90382
Lipid-associated functions	85724.36626	-14613.02305	377278.3333	456667
Lipid-associated functions	381307.6667	243363.6667	377817	556939.6667
Methanogenesis/ C1 metabolic processes	325296.6667	90233.10246	415315	348492.3333
Methanogenesis/ C1 metabolic processes	401437.3333	248221.6667	352439.3333	220925.6667
Methanogenesis/ C1 metabolic processes	251145.3968	83776	762029.6667	733850.6667
Methanogenesis/ C1 metabolic processes	290110.3333	90945	425603.6667	251753.3333
Methanogenesis/ C1 metabolic processes	118238.8384	62605.59358	133325.3333	-0.021474667
Methanogenesis/ C1 metabolic processes	46615.71684	343.6832827	371740.3333	368988.6667
Methanogenesis/ C1 metabolic processes	128264.4468	114927	493471.6667	561609.6667
Methanogenesis/ C1 metabolic processes	441355.6667	263647.6667	404816.3333	167288
Methanogenesis/ C1 metabolic processes	185203	150922.6667	532255	569953.3333
Methanogenesis/ C1 metabolic processes	285348.2373	414363	619192.3333	600867.6667
Methanogenesis/ C1 metabolic processes	544843.6667	462609.6667	804267.6667	591261.3333
Methanogenesis/ C1 metabolic processes	249314.3333	256228	321576.3333	594465.3333
Methanogenesis/ C1 metabolic processes	196067.3333	258517	737299.3333	700563.3333
Methanogenesis/ C1 metabolic processes	346191	109392.0494	705943.3333	489984
Methanogenesis/ C1 metabolic processes	469111.3333	319947.6667	347766.6667	316574.6667
Methanogenesis/ C1 metabolic processes	-102962.8211	-184911.3333	316646	300086
Methanogenesis/ C1 metabolic processes	-96862.76016	-207745.3333	197159.3333	194577
Methanogenesis/ C1 metabolic processes	129180.9149	239393.6667	569798.6667	575513
Methanogenesis/ C1 metabolic processes	147065.6667	290660.3333	179607	342990.6667
Methanogenesis/ C1 metabolic processes	123680.3333	252264.4495	888378.3333	927012.3333
Methanogenesis/ C1 metabolic processes	370704	194744.8005	800245	897167
Methanogenesis/ C1 metabolic processes	514438.6667	363867.3333	896171.6667	957164.3333
Methanogenesis/ C1 metabolic processes	61036.49352	77829.1332	290868.6667	352568.6667
Methanogenesis/ C1 metabolic processes	185901	60007.45693	488974	548842
Methanogenesis/ C1 metabolic processes	-52756.62079	-0.689002667	-103916.6667	-363731
Methanogenesis/ C1 metabolic processes	135454.4298	67188.66667	114392.1446	NA
Methyltransferase	-54733.76936	0.1749576	-37814	-246502.6667
NAD biosynthetic process	166386.4724	16571.28393	262073.3333	130752
NAD biosynthetic process	0.166660333	0.012436467	0.516897333	60725.93664
NADPH regeneration	229955	159852.1849	296074.3333	230296.3333
Nitrogen compound metabolism	256736.6667	168960.192	392680.3333	426238.6667
Nucleobase-associated functions	-6932.670329	93877.54263	177662	70110.2064
Nucleobase-associated functions	172907.6667	146827.3205	232708	47556.17511
Nucleobase-associated functions	265464.6667	202089.3333	237683	409452.6667
Nucleobase-associated functions	-5750.496004	-112131.6541	214766.3333	206427
Nucleobase-associated functions	-0.370057453	61241.00593	0.680576	215497.6667
Nucleobase-associated functions	57616.52818	-128249.596	327132.3333	471885.3333
Nucleobase-associated functions	125488.5832	61241.4679	242990	207528.6667
Nucleobase-associated functions	87200.02192	45713.85975	299839.6667	186920
Oxidoreductase activity	165222.3333	123137.3308	300642.6667	263328.6667
Protease	51201.94649	49106.41174	-279720	NA
Protein folding	215524.6156	232217.3333	152153.6667	469938.3333
Protein folding	12578.30709	-7453	-124545.0893	87004.10505
Protein folding	164873.02	112437.3333	629986.3333	481039
Protein folding	76780.33333	135214.4569	211875.3333	573135
Proteolysis	65517.41509	55824.96954	283126.3333	464367.6667
Proteolysis	419938.3333	389419	109310	-355735
Proteolysis	407798.6667	205258.3333	-258912.6667	NA
Proteolysis	243845.6667	384829.6667	-3538.690166	NA
Pyruvate-associated functions	132824.9548	39257.49748	304752.3333	383683.6667
Pyruvate-associated functions	211235	186878	226528.6667	252387.3333
Pyruvate-associated functions	238680	57403.91175	209514.6667	408319
RNA-associated functions	79709.74773	-12221.66667	115339.6565	132326.9924
RNA-associated functions	-88300.33333	-120231.9132	0.459024667	0.515978667
RNA-associated functions	120556.0357	198177.0675	380984.3333	299632.6667
Transcription	307927.3333	103932.9272	260500.3333	388857
Transcription	219868	132717.0801	190552.3333	185473.6667
Transcription	154292.1194	89644.58911	252048.3333	350193.3333
Transcription	57971.78556	51676.49579	271581	355791.6667
Transcription	5253.666667	144605.8829	285057.3333	363545.3333
Transcription	-0.057363333	-131434.0252	154962	266064.6667
Translation 	-0.251032333	92062.97003	166779.3333	206370.3333
Translation 	145497.3333	171232.323	289407.3333	382734.3333
Translation 	267286.3333	197297.6767	384053	432444.3333
Translation 	-78017.69756	-43016.54286	159908.3333	128332.2973
Translation 	-46618.20555	-63460.72766	203368.6667	205145
Translation 	161775.3333	82107.97494	373208.3333	182880
Translation 	245760	179906.2606	204958	226304
Translation 	-39722.80964	-161880.3333	311065.3333	271384
Translation 	310893.6667	298664.6667	747039.3333	835673
Translation 	-27236.05873	-94266.2059	163118.3333	164560
Translation 	-0.081888067	112851.1877	181121.6667	213775
Translation 	217510.6667	138462.2188	154902.6667	200368.6667
Translation 	0.141658667	0.624399333	244584	249401.3333
Translation 	287638.6667	104958.7787	247683	391143.6667
Translation 	-49853.30294	-57153.89692	160605.3333	300859
Translation 	61894.245	133893.6667	199536.3333	83472.33333
Translation 	262887	155688.3333	332520	120470.3333
Translation 	201476.6667	273072.6667	217120.6667	361009.3333
Translation 	40170.29609	-7194.333333	244637.6667	324274
Translation 	165329	85181.66462	210488.3333	334512.6667
Translation 	36925.21766	-62072.31584	208534	296027
Translation 	389864.3333	405657.6667	358914.3333	171855.6667
Translation 	174671.5348	141301.4983	291968	352259
Translation 	141328.3333	72048.33333	110902	213039
Translation 	188926.6667	228715.6667	292835.3333	381489.3333
Translation 	207238	281117	432634	480526.6667
Translation 	250004.3333	129497.5379	306204.6667	296493.6667
Translation 	50179.80418	36539.29722	245882.6667	288248.6667
Translation 	306948.6667	266958.3333	644483.3333	670666.3333
Translation 	221620.3333	151930.5532	163500.6667	419029.6667
Translation 	292180.6667	143210.4482	307765	392293.6667
Translation 	183291.3333	258226	272796.6667	424651
Translation 	-53211.38646	-60204.2407	222837	352496
Translation 	146192.8661	107669.7056	232904.6667	123458.8306
Translation 	425022.6667	324866.3333	286101.3333	438752.3333
Translation 	-290505.6667	-150429.8499	34286.1424	131708.3333
Translation 	0.305614667	15043.62673	210585.3333	301473
Translation 	-51857.34941	-170862.2069	338219	253981.6667
Translation 	53499.88216	86727.33333	269363.6667	285817.3333
Translation 	109831.119	-60491.40836	200509.3333	247686.6667
Translation 	147123.9419	33025.6393	214199	276387
Translation 	118521.8161	62028.01965	270108.6667	332915.3333
Translation 	0.588306	-17347.78602	167384.5	NA
Transport	179691	322753.6667	76957	-193060.1792
Transport	48276.17588	-7281.730705	41862.76728	0.264687
Transport	244278	204494.6667	355392	111409
Tricarboxylic acid cycle	49691.17944	-59352.71494	132351.3333	218478.3333
Tricarboxylic acid cycle	38187.62745	-6407.926495	144099.6667	97873.51947
Unknown cell wall-associated functions	275531.6667	282169.3333	-117092.6872	-245931.3771
Unknown cell wall-associated functions	14117.29635	71858.04565	-185033.6667	-161170
Unknown cell wall-associated functions	147551.3399	-122087.0719	-327827	338500.3333
Unknown cell wall-associated functions	526846	409146.3333	-187696	-303369
Unknown cell wall-associated functions	0.800112667	-14903.70899	NA	NA
Unknown function	-84675.69528	-60258.60961	168331.3333	171259.3333
Unknown function	0.605080333	47751.88742	223102	0.286848667
Unknown function	187295.6667	174147.1005	261899	155922
Unknown function	-55558.83208	-44874.87403	106132.611	-0.770926667
Unknown function	-34802.61352	53364.78204	285378	330838
Unknown function	199331	34744.7619	341504.6667	176855
Unknown function	-124982.4115	-69874.92675	-110739.9166	-0.541143333
Unknown function	344090.3333	202607.9363	463366.3333	347496.6667
Unknown function	-109758.2523	-93890.89691	0.166729533	123039.6667
Unknown function	4588.504982	-53627.62187	106700.6816	142776.6667
Unknown function	116377.5603	4217.207087	156684.6667	76975.33145
Unknown function	197898.3333	179536.6667	508094.6667	0.794811667
Unknown function	542777	212212	285053	-612.1696085
Unknown function	517095	303177	12032	-430098
Unknown function	501895.6667	432839.3333	31172	-193845
Unknown function	111983.2806	157256.2167	0.035034867	NA
Unknown function	238314.6667	176176.6667	-0.4921285	NA
Unknown function	96139.98383	176693.3333	-35965	NA
Vitamin biosynthesis	-856.9670295	-73658.67166	193621.6667	314124
Vitamin biosynthesis	-133843.3333	-288177	101914.6659	45692.32502
Vitamin biosynthesis	528069.6667	450255	249642.3333	-159913.6561
Vitamin biosynthesis	9802.279712	-0.521295333	100438.2859	0.606597333
Vitamin biosynthesis	-85964.69756	-268360.6667	98371.51278	NA
